,Unnamed: 0,Unnamed: 0.1,NEWID,Total expenses,Entertainment,Total Transportation cost,Total Housing,Total Food,Income After Taxes,Luxury expenses,Necessities,50%,30%,Income minus total expenses,possible savings,20%,50%_delta,30%_delta,20%_delta
48,48,48,3567674,11134.75,190.0,870.0,1987.0,5720.0,49086.0,2367.75,8577.0,0.6989365603226989,0.1929470724850263,1136.75,378.91666666666674,0.09263333740781486,0.1989365603226989,-0.1070529275149737,-0.10736666259218515
49,49,49,3567704,9924.5,93.0,1598.0,2481.0,2150.0,30353.0,3602.5,6229.0,0.8208743781504301,0.4747471419629032,-2336.25,-778.75,-0.3078773103152901,0.3208743781504301,0.1747471419629032,-0.50787731031529
50,50,50,3567744,17879.65,1502.0,2217.0,9264.0,2600.0,93693.4,2296.650000000001,14081.0,0.6011522689965355,0.09804959580930997,5543.699999999998,1847.8999999999992,0.23667408803608356,0.10115226899653551,-0.20195040419069002,0.036674088036083546
51,51,51,3567754,6251.05,0.0,1094.0,3327.0,1363.0,20538.6,467.0500000000001,5784.0,1.1264643159709036,0.09096043547271968,-1116.4000000000003,-372.1333333333335,-0.21742475144362336,0.6264643159709036,-0.2090395645272803,-0.41742475144362334
52,52,52,3567824,10999.45,380.0,1864.0,4097.0,2730.0,54210.0,1928.4500000000005,8691.0,0.641283895960155,0.14229477956096664,2553.0499999999993,851.0166666666664,0.18838221730308052,0.141283895960155,-0.15770522043903334,-0.011617782696919488
53,53,53,3567864,6715.25,174.0,1164.0,2387.0,806.0,22150.0,2184.25,4357.0,0.7868171557562077,0.3944469525959368,-1177.75,-392.58333333333326,-0.212686230248307,0.2868171557562077,0.09444695259593683,-0.412686230248307
54,54,54,3567884,20929.0,1024.0,1446.0,10050.0,1453.0,45294.4,6956.0,12949.0,1.1435409233812568,0.6142922745416651,-9605.4,-3201.8,-0.8482638030308381,0.6435409233812568,0.31429227454166514,-1.0482638030308382
55,55,55,3567894,19356.75,0.0,297.0,15780.75,1235.0,16505.0,2044.0,17312.75,4.195758860951227,0.49536504089669803,-15230.5,-5076.833333333333,-3.6911239018479245,3.6957588609512273,0.19536504089669804,-3.8911239018479247
56,56,56,3568004,11801.0,400.0,572.0,5325.0,1430.0,99535.0,4074.0,7327.0,0.29444918872758324,0.16372130406389712,13082.75,4360.916666666667,0.5257547596322901,-0.20555081127241676,-0.13627869593610287,0.3257547596322901
57,57,57,3568024,47933.087,110.0,6782.0,15271.75,3628.0,257509.6,22141.337000000003,25681.75,0.3989249332840407,0.3439302767741475,16444.313000000002,5481.4376666666685,0.2554361157797612,-0.10107506671595928,0.043930276774147514,0.05543611577976121
58,58,58,3568034,34449.5,2995.0,2674.0,20077.0,2251.0,174808.6,6452.5,25002.0,0.5720999996567674,0.14764719813556082,9252.65,3084.2166666666667,0.21172070481658228,0.07209999965676739,-0.15235280186443917,0.011720704816582272
59,59,59,3568084,13831.0,893.0,1523.0,4490.0,2583.0,64059.0,4342.0,8596.0,0.5367551788195257,0.27112505658845754,2183.75,727.9166666666665,0.1363586693516914,0.036755178819525725,-0.028874943411542453,-0.06364133064830862
60,60,60,3568094,6679.0,295.0,291.0,4076.0,845.0,19086.0,1172.0,5212.0,1.0923189772608195,0.24562506549303156,-1907.5,-635.8333333333334,-0.3997694645289741,0.5923189772608195,-0.054374934506968425,-0.5997694645289742
61,61,61,3568114,10492.0,359.0,4310.0,1900.0,1560.0,48771.0,2363.0,7770.0,0.6372639478378544,0.19380369481864226,1700.75,566.9166666666666,0.13948863053863975,0.13726394783785445,-0.10619630518135773,-0.060511369461360265
62,62,62,3568124,2975.0,327.0,0.0,1209.0,455.0,13188.0,984.0,1664.0,0.5047012435547468,0.2984531392174704,322.0,107.33333333333331,0.09766454352441614,0.00470124355474677,-0.00154686078252958,-0.10233545647558387
63,63,63,3568164,8357.75,391.0,1048.0,2820.0,750.0,52065.0,3348.75,4618.0,0.3547872851243637,0.25727456064534715,4658.5,1552.833333333333,0.3578987803706905,-0.1452127148756363,-0.04272543935465284,0.1578987803706905
64,64,64,3568174,6273.0,252.0,273.0,2712.0,1170.0,2000.0,1866.0,4155.0,8.31,3.7319999999999998,-5773.0,-1924.333333333333,-11.546,7.8100000000000005,3.432,-11.745999999999999
